Sequence id	Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description	outcompeted	significant	uniq
>AT1G32750.1|PACid:19656601_AtTAFIIa	DUF3591	PF12157.8	CL0662	578	1146	578	1146	1	441	405.061553955078	3.2e-121	9.0e-125	Protein of unknown function (DUF3591)	0	1	1
>AT1G32750.1|PACid:19656601_AtTAFIIa	Bromodomain	PF00439.25		1807	1888	1808	1882	2	75	59.1895980834961	3.1e-16	8.8e-20	Bromodomain	0	1	2
>AT1G32750.1|PACid:19656601_AtTAFIIa	TBP-binding	PF09247.11		16	70	19	64	2	48	36.4609985351562	4.4e-09	1.2e-12	TATA box-binding protein binding	0	1	3
>AT1G32750.1|PACid:19656601_AtTAFIIa	ubiquitin	PF00240.23	CL0072	663	734	663	732	1	69	30.4557285308838	2.3e-07	6.4e-11	Ubiquitin family	0	1	4
>AT1G32750.1|PACid:19656601_AtTAFIIa	zf-CCHC_6	PF15288.6	CL0511	1397	1433	1399	1423	4	28	22.3403949737549	8.3e-05	2.3e-08	Zinc knuckle	0	1	5
>Cre10.g425500.t1.1|PACid:19872476_CreTAFIIa	DUF3591	PF12157.8	CL0662	977	1386	977	1383	1	253	114.019798278809	6.6e-33	1.1e-36	Protein of unknown function (DUF3591)	0	1	1
>Cre10.g425500.t1.1|PACid:19872476_CreTAFIIa	DUF3591	PF12157.8	CL0662	1385	1572	1387	1569	285	438	58.9262046813965	3.5e-16	5.8e-20	Protein of unknown function (DUF3591)	0	1	2
>Cre10.g425500.t1.1|PACid:19872476_CreTAFIIa	Bromodomain	PF00439.25		2381	2467	2389	2465	15	79	34.3505477905273	1.8e-08	3.0e-12	Bromodomain	0	1	3
>Cre10.g425500.t1.1|PACid:19872476_CreTAFIIa	TBP-binding	PF09247.11		6	65	9	63	5	58	31.5162696838379	1.5e-07	2.6e-11	TATA box-binding protein binding	0	1	4
>orange1.1g000792m|PACid:18135589_CsiTAFIIb_1	DUF3591	PF12157.8	CL0662	595	1045	644	1045	65	441	380.818359375	7.4e-114	1.2e-117	Protein of unknown function (DUF3591)	0	1	1
>orange1.1g000792m|PACid:18135589_CsiTAFIIb_1	TBP-binding	PF09247.11		15	69	18	62	4	45	35.9115600585938	6.5e-09	1.1e-12	TATA box-binding protein binding	0	1	2
>orange1.1g000792m|PACid:18135589_CsiTAFIIb_1	ubiquitin	PF00240.23	CL0072	589	632	595	630	35	70	26.5615863800049	3.8e-06	6.3e-10	Ubiquitin family	0	1	3
>Gorai.011G137400.5|PACid:26812242_GrTAFIIa_5	DUF3591	PF12157.8	CL0662	562	1132	562	1132	1	441	434.966827392578	2.7e-130	6.1e-134	Protein of unknown function (DUF3591)	0	1	1
>Gorai.011G137400.5|PACid:26812242_GrTAFIIa_5	TBP-binding	PF09247.11		8	64	17	57	8	45	37.0439834594727	2.9e-09	6.4e-13	TATA box-binding protein binding	0	1	2
>Gorai.011G137400.5|PACid:26812242_GrTAFIIa_5	ubiquitin	PF00240.23	CL0072	647	718	649	715	3	68	35.6108665466309	5.7e-09	1.3e-12	Ubiquitin family	0	1	3
>Gorai.011G137400.5|PACid:26812242_GrTAFIIa_5	Rad60-SLD	PF11976.8	CL0072	645	715	645	713	1	69	24.3487033843994	2.0e-05	4.4e-09	Ubiquitin-2 like Rad60 SUMO-like	1	1	4
>cassava4.1_002084m|PACid:17964858_MeTAFIIb	DUF3591	PF12157.8	CL0662	345	766	345	759	1	306	311.616943359375	7.3e-93	8.2e-97	Protein of unknown function (DUF3591)	0	1	1
>cassava4.1_002084m|PACid:17964858_MeTAFIIb	ubiquitin	PF00240.23	CL0072	430	503	430	501	1	70	44.9314041137695	7.0e-12	7.8e-16	Ubiquitin family	0	1	2
>Medtr5g026660.1|PACid:23034861_MtruTAFIIa	DUF3591	PF12157.8	CL0662	741	1228	742	1224	3	366	361.642639160156	4.8e-108	1.4e-111	Protein of unknown function (DUF3591)	0	1	1
>Medtr5g026660.1|PACid:23034861_MtruTAFIIa	DUF3591	PF12157.8	CL0662	1283	1365	1289	1353	362	425	34.5167045593262	8.8e-09	2.5e-12	Protein of unknown function (DUF3591)	0	1	2
>Medtr5g026660.1|PACid:23034861_MtruTAFIIa	Bromodomain	PF00439.25		2082	2163	2083	2158	2	75	61.0527992248535	8.2e-17	2.3e-20	Bromodomain	0	1	3
>Medtr5g026660.1|PACid:23034861_MtruTAFIIa	TBP-binding	PF09247.11		113	164	117	157	4	45	37.5969085693359	1.9e-09	5.4e-13	TATA box-binding protein binding	0	1	4
>Medtr5g026660.1|PACid:23034861_MtruTAFIIa	ubiquitin	PF00240.23	CL0072	825	897	827	895	3	70	28.0785999298096	1.3e-06	3.5e-10	Ubiquitin family	0	1	5
>Medtr5g026660.1|PACid:23034861_MtruTAFIIa	zf-CCHC_6	PF15288.6	CL0511	1702	1737	1704	1723	4	23	22.2949714660645	8.6e-05	2.4e-08	Zinc knuckle	0	1	6
>Phvul.002G127400.1|PACid:27169930_PhvTAFIIa	DUF3591	PF12157.8	CL0662	586	1154	587	1154	3	441	421.239379882812	4.0e-126	8.9e-130	Protein of unknown function (DUF3591)	0	1	1
>Phvul.002G127400.1|PACid:27169930_PhvTAFIIa	Bromodomain	PF00439.25		1783	1864	1784	1859	2	75	60.6178703308105	1.1e-16	2.5e-20	Bromodomain	0	1	2
>Phvul.002G127400.1|PACid:27169930_PhvTAFIIa	ubiquitin	PF00240.23	CL0072	670	742	670	741	1	71	38.0099830627441	1.0e-09	2.3e-13	Ubiquitin family	0	1	3
>Phvul.002G127400.1|PACid:27169930_PhvTAFIIa	TBP-binding	PF09247.11		14	68	21	61	8	45	36.6448822021484	3.8e-09	8.6e-13	TATA box-binding protein binding	0	1	4
>ppa000092m|PACid:17654523_PperTAFIIa	DUF3591	PF12157.8	CL0662	516	1083	517	1083	3	441	426.133148193359	1.3e-127	3.7e-131	Protein of unknown function (DUF3591)	0	1	1
>ppa000092m|PACid:17654523_PperTAFIIa	Bromodomain	PF00439.25		1736	1817	1736	1811	1	75	66.2974624633789	1.9e-18	5.3e-22	Bromodomain	0	1	2
>ppa000092m|PACid:17654523_PperTAFIIa	ubiquitin	PF00240.23	CL0072	600	672	600	670	1	70	45.1736602783203	5.9e-12	1.6e-15	Ubiquitin family	0	1	3
>ppa000092m|PACid:17654523_PperTAFIIa	Rad60-SLD	PF11976.8	CL0072	598	668	598	668	1	71	28.7682666778564	8.2e-07	2.3e-10	Ubiquitin-2 like Rad60 SUMO-like	1	1	4
>ppa000092m|PACid:17654523_PperTAFIIa	TBP-binding	PF09247.11		1	34	1	28	17	45	27.0750389099121	3.7e-06	1.0e-09	TATA box-binding protein binding	0	1	5
>Potri.017G047600.6|PACid:26985440_PtTAFIIa_6	DUF3591	PF12157.8	CL0662	237	807	237	807	1	441	432.724914550781	1.3e-129	2.2e-133	Protein of unknown function (DUF3591)	0	1	1
>Potri.017G047600.6|PACid:26985440_PtTAFIIa_6	ubiquitin	PF00240.23	CL0072	322	394	322	392	1	70	35.652946472168	5.5e-09	9.2e-13	Ubiquitin family	0	1	2
>Thecc1EG019910t1|PACid:27453036_TheTAFIIa	DUF3591	PF12157.8	CL0662	565	1135	565	1135	1	441	430.196136474609	7.7e-129	2.1e-132	Protein of unknown function (DUF3591)	0	1	1
>Thecc1EG019910t1|PACid:27453036_TheTAFIIa	Bromodomain	PF00439.25		1785	1867	1787	1861	2	75	63.2330665588379	1.7e-17	4.8e-21	Bromodomain	0	1	2
>Thecc1EG019910t1|PACid:27453036_TheTAFIIa	TBP-binding	PF09247.11		8	64	17	57	8	45	38.1218185424805	1.3e-09	3.7e-13	TATA box-binding protein binding	0	1	3
>Thecc1EG019910t1|PACid:27453036_TheTAFIIa	ubiquitin	PF00240.23	CL0072	650	721	650	719	1	69	37.2961044311523	1.7e-09	4.7e-13	Ubiquitin family	0	1	4
>Thecc1EG019910t1|PACid:27453036_TheTAFIIa	zf-CCHC_6	PF15288.6	CL0511	1395	1423	1397	1416	4	23	22.2876834869385	8.7e-05	2.4e-08	Zinc knuckle	0	1	5
>GRMZM2G394722_T02|PACid:20839728_ZmTAFIIc_2	TBP-binding	PF09247.11		79	133	82	126	2	45	40.84521484375	1.9e-10	1.0e-14	TATA box-binding protein binding	0	1	1
